약물구분,ATC코드,ATC코드명,시도명칭,시군구명칭,기간_dt,연도,월,수량,금액,처방량_per_capita,금액_per_capita,총거주자수,세대수,세대당인구,남여비율,고령인구비율,남자인구수,여자인구수,고령인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세이상
A10B,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",서울,강서구,2024-06-01,2024,6,2057154,771152122,3.760085395254641,1409.5190887273511,547103.0,271142.0,2.02,0.91,0.274390745435503,261319.0,285784.0,150120,26902,40069,72139,95704,81442,80727,78484,49073,19350,3125,88
A10B,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",서울,관악구,2024-06-01,2024,6,1319221,474458395,2.777412617741304,998.8976319102619,474982.0,286091.0,1.66,1.01,0.2552412512474157,238765.0,236217.0,121235,14024,23735,101747,92902,57458,63881,59550,40647,18807,2190,41
A10B,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",서울,광진구,2024-06-01,2024,6,1707110,724029818,5.181586671401731,2197.645877914265,329457.0,169520.0,1.94,0.92,0.2580640265649235,157621.0,171836.0,85021,13562,22853,55339,56435,45607,50640,45394,26094,11752,1744,37
A10B,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",서울,구로구,2024-06-01,2024,6,2293837,895330163,5.988176817791422,2337.304405825704,383061.0,183121.0,2.09,0.96,0.2978246284534317,187219.0,195842.0,114085,19737,27133,46393,61074,54832,59807,57771,38209,15967,2096,42
A10B,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",서울,금천구,2024-06-01,2024,6,899166,327423453,4.043939932268641,1472.5654399165276,222349.0,120559.0,1.84,1.01,0.30657210061659823,111535.0,110814.0,68166,8435,12040,32031,39264,27460,34953,36746,21126,9089,1178,27
A10B,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",서울,노원구,2024-06-01,2024,6,1951325,756305849,4.039642351421403,1565.7079872641002,483044.0,215709.0,2.24,0.92,0.2906381199228228,231145.0,251899.0,140391,23118,44402,61702,60758,68917,83756,72087,44196,20665,3352,91
A10B,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",서울,도봉구,2024-06-01,2024,6,1086863,408481869,3.637718558384877,1367.1843421158326,298776.0,137831.0,2.17,0.93,0.3466476557688703,144162.0,154614.0,103570,11961,21229,33660,37077,39464,51815,52766,32672,15813,2249,70
A10B,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",서울,동대문구,2024-06-01,2024,6,1928832,721630837,5.637271778744846,2109.0634913212357,342157.0,174256.0,1.96,0.95,0.27994458684171303,166780.0,175377.0,95785,17306,22659,55142,52612,47095,51558,48071,30646,15002,2011,55
A10B,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",서울,동작구,2024-06-01,2024,6,1402459,556535564,3.7841092445590876,1501.6420249421237,370618.0,185517.0,2.0,0.93,0.2695605718016934,178785.0,191833.0,99904,17507,25006,60311,61118,50949,55823,49603,32596,15449,2203,53
A10B,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",서울,마포구,2024-06-01,2024,6,1173813,445985068,3.302013592735538,1254.5854890796772,355484.0,178382.0,1.99,0.87,0.23333258318236544,164986.0,190498.0,82946,18361,25712,55046,64252,54104,55063,42129,25061,13608,2106,42
A10B,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",서울,서대문구,2024-06-01,2024,6,2729869,1102095003,9.146699323848901,3692.6796189697575,298454.0,144710.0,2.06,0.9,0.27642115702922393,141064.0,157390.0,82499,15328,21674,45253,44600,41916,47184,41257,25267,13876,2046,53
A10B,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",서울,서초구,2024-06-01,2024,6,2077267,892064591,5.078184702865371,2180.783096243311,409057.0,170526.0,2.4,0.9,0.23246393534397405,194302.0,214755.0,95091,26333,45273,48012,57163,70376,66809,47713,31821,13392,2108,57
A10B,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",서울,성동구,2024-06-01,2024,6,1312178,499833648,4.818072665185702,1835.295849015036,272345.0,131667.0,2.07,0.93,0.2653472617452129,131490.0,140855.0,72266,15629,17206,38073,47622,39215,42334,37942,21921,10840,1531,32
A10B,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",서울,성북구,2024-06-01,2024,6,2110460,853869977,5.012623833512656,2028.0550199629954,421029.0,197352.0,2.13,0.91,0.2757387258359875,201153.0,219876.0,116094,21617,33920,62895,56661,59644,70198,58180,36617,18565,2668,64
A10B,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",서울,송파구,2024-06-01,2024,6,3779728,1488075475,5.898277048589383,2322.146308083874,640819.0,283767.0,2.26,0.92,0.25197442647611884,306837.0,333982.0,161470,39529,56717,76975,105509,103088,97531,86947,52395,18928,3120,80
A10B,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",서울,양천구,2024-06-01,2024,6,1565642,591553220,3.693614672146231,1395.5742454196727,423878.0,178221.0,2.38,0.95,0.2713233524740609,206231.0,217647.0,115008,22775,46228,47271,51721,69110,71765,61877,36954,13965,2148,64
A10B,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",서울,영등포구,2024-06-01,2024,6,1230401,468897142,3.3341670550744116,1270.6275458772775,369028.0,190457.0,1.94,0.95,0.25784764299727936,180023.0,189005.0,95153,19869,22281,53188,73565,51720,53252,48412,30272,14285,2133,51
A10B,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",서울,용산구,2024-06-01,2024,6,492307,184755376,2.468483781845896,926.3846527976253,199437.0,101046.0,1.97,0.91,0.2690222977682175,94965.0,104472.0,53653,9888,12541,26638,36973,28522,31222,27707,15808,8562,1529,47
A10B,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",서울,은평구,2024-06-01,2024,6,1719546,642951160,3.7885893693197468,1416.5820104654365,453875.0,212883.0,2.13,0.9,0.299245386945745,214600.0,239275.0,135820,20636,33697,56491,66414,64699,76118,68406,43326,21158,2871,59
